"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.539820220E-1,5.119115791E1,2.086004335E1,2.453208680E2,2.800000000E2,4.198999786E1,0.000000000E0,4.027318618E-2,5.500000000E0,6.000000000E0,2.900000000E1
1.153980338E0,5.119152009E1,2.086004586E1,2.443226232E2,2.790000000E2,4.132999802E1,5.000000000E-1,7.984473061E-2,5.500000000E0,6.000000000E0,2.900000000E1
2.153978713E0,5.119187586E1,2.086005969E1,2.433243670E2,2.780000000E2,4.152000046E1,1.100000024E0,1.199505091E-1,5.000000000E0,6.000000000E0,2.900000000E1
3.153977020E0,5.119223641E1,2.086007528E1,2.433261370E2,2.780000000E2,4.136999893E1,2.099999905E0,1.617820094E-1,5.500000000E0,6.000000000E0,2.800000000E1
4.153975363E0,5.119261213E1,2.086010562E1,2.433280060E2,2.780000000E2,4.137999725E1,2.200000048E0,2.021681014E-1,6.000000000E0,7.000000000E0,2.800000000E1
5.153973697E0,5.119297511E1,2.086012591E1,2.443297960E2,2.790000000E2,4.129999924E1,1.200000048E0,2.422652876E-1,6.500000000E0,7.000000000E0,2.400000000E1
6.153972056E0,5.119333541E1,2.086014963E1,2.443315789E2,2.790000000E2,4.123999786E1,1.799999952E0,2.831354095E-1,6.000000000E0,7.000000000E0,2.400000000E1
7.153970354E0,5.119370257E1,2.086017645E1,2.443334004E2,2.790000000E2,4.120999908E1,2.500000000E0,3.239180362E-1,7.000000000E0,8.000000000E0,2.300000000E1
8.153968757E0,5.119406907E1,2.086019883E1,2.453352110E2,2.800000000E2,4.114999771E1,1.700000048E0,3.662718767E-1,7.000000000E0,8.000000000E0,2.300000000E1
9.153967057E0,5.119444982E1,2.086021584E1,2.463370811E2,2.810000000E2,4.118999863E1,1.500000000E0,4.092110911E-1,7.500000000E0,8.000000000E0,2.300000000E1
1.015396537E1,5.119483560E1,2.086024334E1,2.463389938E2,2.810000000E2,4.141999817E1,2.099999905E0,4.546740267E-1,7.500000000E0,8.000000000E0,2.300000000E1
1.115396374E1,5.119524401E1,2.086027393E1,2.443410212E2,2.790000000E2,4.229999924E1,2.500000000E0,5.002771278E-1,7.500000000E0,8.000000000E0,2.400000000E1
1.215396204E1,5.119565388E1,2.086029648E1,2.423430418E2,2.770000000E2,4.370000076E1,1.799999952E0,5.473018394E-1,7.500000000E0,8.000000000E0,2.400000000E1
1.315396040E1,5.119607650E1,2.086032137E1,2.423451280E2,2.770000000E2,4.554999924E1,1.700000048E0,5.955958549E-1,8.000000000E0,9.000000000E0,2.200000000E1
1.415395882E1,5.119651060E1,2.086034342E1,2.433472648E2,2.780000000E2,4.629999924E1,2.099999905E0,6.420481939E-1,8.000000000E0,8.000000000E0,2.200000000E1
1.515395712E1,5.119692814E1,2.086036462E1,2.433493200E2,2.780000000E2,4.618999863E1,2.000000000E0,6.888597970E-1,8.000000000E0,9.000000000E0,2.100000000E1
1.615395545E1,5.119734870E1,2.086039480E1,2.433514055E2,2.780000000E2,4.656999969E1,3.000000000E0,7.355954266E-1,8.500000000E0,9.000000000E0,2.100000000E1
